product_id,product_title,rating,total_reviews,price,top_reviews
itmce4bb3f55cc2f,"Apple iPhone 16 (Teal, 128 GB)",4.6,"5,811","₹69,900",No reviews found
itm7c0281cd247be,"Apple iPhone 16 (White, 128 GB)",4.6,"5,811","₹69,900","5 Fabulous! Absolute Beauty READ MORE Rajdip Ganguli Certified Buyer , Kolkata 1 month ago 20 1 Permalink Report Abuse || 5 Mind-blowing purchase Brilliant Camera with unbeatable video performance. Tip-top performance from the A18 Chip. Literally Apple's best value offering. READ MORE Aman  Kulshrestha Certified Buyer , Agra 1 month ago 65 11 Permalink Report Abuse"
itm8f6413060b707,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",4.6,"2,359","₹40,999","5 Wonderful Everything is just excellent but only battery is average READ MORE Abhishek Maurya Certified Buyer , Jaunpur 1 month ago 13 0 Permalink Report Abuse || 5 Wonderful Excellent product and  worth it to buy , if there is an option to choose iphone15or16 and s24 then i would go with s24 READ MORE Pawan Rajput Certified Buyer , Etah 1 month ago 10 0 Permalink Report Abuse"
itm0eb31619428e4,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)",4.6,"2,359","₹45,999","5 Wonderful Everything is just excellent but only battery is average READ MORE Abhishek Maurya Certified Buyer , Jaunpur 1 month ago 13 0 Permalink Report Abuse || 5 Wonderful Excellent product and  worth it to buy , if there is an option to choose iphone15or16 and s24 then i would go with s24 READ MORE Pawan Rajput Certified Buyer , Etah 1 month ago 10 0 Permalink Report Abuse"
